Order ID,Region,Country,City,Sales Representative,Customer Name,Customer Type,Sales Channel,Order Priority,Order Date,Ship Date,Item Category,Sub-Category,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Discount Applied (%),Tax (8%),Payment Method,Order Status,Shipping Carrier,Customer Segment
2000000,North America,Canada,Toronto,Emily Thompson,Patricia Brown,Corporate,Partner,High,2022-04-09 00:00:00,2022-04-15 00:00:00,Clothing,Jeans,378,906.32,638.42,342588.96,241322.76,101266.2,16,27407.12,PayPal,Returned,DHL,Individual
2000001,North America,Canada,Vancouver,Christopher Anderson,Steven Taylor,Home Office,Online,High,2022-06-22 00:00:00,2022-06-25 00:00:00,Office Supplies,Pens,257,873.56,649.15,224504.92,166831.55,57673.37,9,17960.39,PayPal,Processing,DHL,SME
2000002,Latin America,Chile,Santiago,Anthony Thompson,Donald Lewis,Corporate,Offline,High,2022-08-01 00:00:00,2022-08-07 00:00:00,Furniture,Chairs,309,1032.66,697.88,319091.94,215644.92,103447.02,0,25527.36,Credit Card,Returned,UPS,Individual
2000003,Europe,France,Paris,Donald Ramirez,Michelle Clark,Corporate,Online,Medium,2023-06-30 00:00:00,2023-07-03 00:00:00,Furniture,Sofas,144,384.02,221.6,55298.88,31910.4,23388.48,7,4423.91,Credit Card,Returned,DHL,Individual
2000004,North America,Mexico,Mexico City,Christopher Anderson,Joseph Garcia,Corporate,Offline,Critical,2022-09-11 00:00:00,2022-09-21 00:00:00,Office Supplies,Pens,378,1125.11,698.03,425291.58,263855.34,161436.24,7,34023.33,Wire Transfer,Processing,Local Courier,Enterprise
2000005,Europe,Germany,Berlin,Karen Ramirez,Barbara Sanchez,Corporate,Offline,Low,2022-03-29 00:00:00,2022-04-05 00:00:00,Clothing,Shoes,168,288.66,186.21,48494.88,31283.28,17211.6,10,3879.59,PayPal,Processing,DHL,SME
2000006,Europe,UK,London,James Clark,Margaret Gonzalez,Consumer,Offline,Low,2022-08-10 00:00:00,2022-08-17 00:00:00,Office Supplies,Paper,81,719.4,493.54,58271.4,39976.74,18294.66,9,4661.71,PayPal,Cancelled,FedEx,Enterprise
2000007,Asia-Pacific,China,Shanghai,Nancy Gonzalez,Steven Thomas,Corporate,Partner,Medium,2022-05-16 00:00:00,2022-05-18 00:00:00,Clothing,Jackets,380,887.1,559.19,337098.0,212492.2,124605.8,7,26967.84,Credit Card,Cancelled,UPS,Enterprise
2000008,Latin America,Chile,Valparaiso,Kimberly Smith,Joseph Lee,Consumer,Online,Medium,2023-04-16 00:00:00,2023-04-23 00:00:00,Clothing,Shoes,63,208.3,154.7,13122.9,9746.1,3376.8,11,1049.83,Direct Debit,Cancelled,Local Courier,SME
2000009,Europe,UK,Birmingham,Thomas Clark,Michelle Johnson,Home Office,Retail,Medium,2022-10-26 00:00:00,2022-11-05 00:00:00,Home Appliances,Washers,17,211.36,116.44,3593.12,1979.48,1613.64,8,287.45,PayPal,Completed,FedEx,Individual
2000010,North America,Canada,Montreal,Robert Thompson,Nancy Rodriguez,Corporate,Retail,Medium,2022-12-14 00:00:00,2022-12-15 00:00:00,Clothing,Jeans,367,894.84,552.79,328406.28,202873.93,125532.35,6,26272.5,Credit Card,Cancelled,DHL,Individual
2000011,Latin America,Chile,Concepción,Kimberly Smith,Robert Lopez,Corporate,Retail,Medium,2022-11-24 00:00:00,2022-12-02 00:00:00,Clothing,Shirts,128,361.51,207.35,46273.28,26540.8,19732.48,2,3701.86,PayPal,Processing,FedEx,Individual
2000012,Middle East & Africa,Saudi Arabia,Riyadh,Charles Johnson,Lisa Ramirez,Consumer,Partner,High,2022-09-15 00:00:00,2022-09-20 00:00:00,Toys,Board Games,272,476.71,356.24,129665.12,96897.28,32767.84,15,10373.21,Credit Card,Cancelled,Local Courier,SME
2000013,Latin America,Brazil,São Paulo,Kimberly Smith,John Jones,Consumer,Offline,High,2023-04-01 00:00:00,2023-04-05 00:00:00,Furniture,Tables,99,763.29,517.72,75565.71,51254.28,24311.43,19,6045.26,Credit Card,Cancelled,DHL,Enterprise
2000014,Europe,France,Marseille,James Clark,Jennifer Moore,Consumer,Retail,Low,2023-10-14 00:00:00,2023-10-20 00:00:00,Office Supplies,Paper,394,1108.87,737.25,436894.78,290476.5,146418.28,11,34951.58,PayPal,Returned,UPS,Enterprise
2000015,North America,USA,New York,Barbara Thompson,Barbara Lopez,Home Office,Partner,Critical,2022-01-27 00:00:00,2022-02-03 00:00:00,Office Supplies,Envelopes,290,717.14,439.57,207970.6,127475.3,80495.3,14,16637.65,Direct Debit,Processing,UPS,SME
2000016,Europe,Germany,Hamburg,Paul Smith,John Smith,Consumer,Retail,Medium,2023-04-15 00:00:00,2023-04-23 00:00:00,Toys,Dolls,389,299.99,206.79,116696.11,80441.31,36254.8,18,9335.69,Credit Card,Returned,FedEx,Enterprise
2000017,Asia-Pacific,South Korea,Seoul,James Taylor,Thomas Moore,Corporate,Offline,Low,2022-03-14 00:00:00,2022-03-18 00:00:00,Electronics,Laptops,193,1008.07,581.2,194557.51,112171.6,82385.91,9,15564.6,Credit Card,Returned,FedEx,Individual
2000018,Europe,Italy,Rome,Donald Ramirez,Ashley Perez,Home Office,Online,High,2022-12-21 00:00:00,2022-12-27 00:00:00,Toys,Board Games,182,153.43,97.82,27924.26,17803.24,10121.02,7,2233.94,Direct Debit,Completed,FedEx,SME
2000019,Asia-Pacific,Australia,Sydney,Joseph Jones,Andrew Moore,Consumer,Online,Medium,2022-03-11 00:00:00,2022-03-12 00:00:00,Home Appliances,Fridges,324,156.26,112.07,50628.24,36310.68,14317.56,14,4050.26,Credit Card,Completed,FedEx,Individual
2000020,Asia-Pacific,China,Beijing,Karen Jones,William Perez,Corporate,Partner,High,2022-08-16 00:00:00,2022-08-24 00:00:00,Home Appliances,Blenders,329,106.54,77.05,35051.66,25349.45,9702.21,19,2804.13,Credit Card,Returned,Local Courier,Individual
2000021,Europe,Italy,Milan,James Clark,Mark Johnson,Corporate,Partner,Critical,2023-10-08 00:00:00,2023-10-10 00:00:00,Furniture,Sofas,184,340.47,218.34,62646.48,40174.56,22471.92,4,5011.72,Credit Card,Processing,UPS,SME
2000022,Middle East & Africa,South Africa,Johannesburg,Jennifer Perez,Margaret Moore,Consumer,Online,Critical,2022-09-26 00:00:00,2022-10-04 00:00:00,Office Supplies,Pens,119,248.42,168.51,29561.98,20052.69,9509.29,2,2364.96,PayPal,Processing,UPS,Enterprise
2000023,Latin America,Colombia,Bogotá,Anthony Thompson,Sarah Gonzalez,Home Office,Online,Critical,2023-01-19 00:00:00,2023-01-22 00:00:00,Home Appliances,Blenders,271,567.26,397.73,153727.46,107784.83,45942.63,6,12298.2,Direct Debit,Processing,Local Courier,SME
2000024,North America,Canada,Calgary,Barbara Thompson,Paul Wilson,Corporate,Retail,Low,2022-04-22 00:00:00,2022-04-24 00:00:00,Electronics,Cameras,242,615.78,443.13,149018.76,107237.46,41781.3,17,11921.5,PayPal,Completed,UPS,Individual
2000025,Europe,Germany,Munich,Paul Smith,Kimberly Davis,Home Office,Online,Critical,2022-01-13 00:00:00,2022-01-14 00:00:00,Home Appliances,Washers,157,692.61,431.48,108739.77,67742.36,40997.41,13,8699.18,Wire Transfer,Completed,FedEx,Enterprise
2000026,North America,USA,Los Angeles,Robert Thompson,Robert Garcia,Consumer,Online,Critical,2023-12-17 00:00:00,2023-12-21 00:00:00,Electronics,Laptops,328,271.29,163.51,88983.12,53631.28,35351.84,8,7118.65,Credit Card,Completed,UPS,SME
2000027,Europe,UK,Manchester,Karen Ramirez,Sandra Williams,Home Office,Retail,Medium,2022-11-28 00:00:00,2022-12-08 00:00:00,Office Supplies,Paper,144,676.1,356.14,97358.4,51284.16,46074.24,8,7788.67,PayPal,Cancelled,Local Courier,SME
2000028,North America,USA,Chicago,Matthew Garcia,Donald Perez,Home Office,Retail,Critical,2023-07-18 00:00:00,2023-07-20 00:00:00,Home Appliances,Fridges,278,381.23,229.99,105981.94,63937.22,42044.72,0,8478.56,PayPal,Processing,DHL,Individual
2000029,Middle East & Africa,South Africa,Cape Town,Emily Thompson,Linda Anderson,Corporate,Retail,Medium,2022-12-26 00:00:00,2022-12-31 00:00:00,Toys,Action Figures,87,779.87,553.83,67848.69,48183.21,19665.48,14,5427.9,Direct Debit,Processing,FedEx,Enterprise
2000030,Middle East & Africa,UAE,Dubai,Jennifer Perez,Anthony Jackson,Corporate,Partner,Critical,2023-11-01 00:00:00,2023-11-08 00:00:00,Toys,Action Figures,53,965.57,566.2,51175.21,30008.6,21166.61,17,4094.02,Direct Debit,Processing,Local Courier,SME
2000031,North America,USA,Houston,Barbara Thompson,Matthew Williams,Consumer,Retail,Low,2022-07-06 00:00:00,2022-07-07 00:00:00,Clothing,Shirts,370,264.23,141.74,97765.1,52443.8,45321.3,13,7821.21,Wire Transfer,Returned,Local Courier,Individual
2000032,Europe,Germany,Cologne,Paul Smith,Donna Wilson,Home Office,Retail,Critical,2023-05-14 00:00:00,2023-05-20 00:00:00,Home Appliances,Washers,177,465.28,332.19,82354.56,58797.63,23556.93,20,6588.36,PayPal,Returned,FedEx,Individual
2000033,Middle East & Africa,Egypt,Cairo,Charles Johnson,John Lee,Home Office,Offline,Medium,2022-07-23 00:00:00,2022-07-31 00:00:00,Office Supplies,Envelopes,171,1189.83,683.77,203460.93,116924.67,86536.26,1,16276.87,PayPal,Cancelled,FedEx,SME
2000034,Latin America,Colombia,Medellín,Anthony Thompson,Patricia Sanchez,Home Office,Online,Critical,2022-07-18 00:00:00,2022-07-23 00:00:00,Toys,Puzzles,264,1083.76,799.21,286112.64,210991.44,75121.2,2,22889.01,PayPal,Completed,Local Courier,Enterprise
2000035,North America,Mexico,Guadalajara,Robert Thompson,Matthew Anderson,Corporate,Online,Low,2023-05-10 00:00:00,2023-05-15 00:00:00,Furniture,Chairs,74,954.62,629.55,70641.88,46586.7,24055.18,16,5651.35,Wire Transfer,Processing,Local Courier,Individual
2000036,Latin America,Colombia,Cali,Elizabeth Johnson,Andrew Harris,Corporate,Partner,Medium,2022-05-05 00:00:00,2022-05-09 00:00:00,Electronics,Cameras,346,928.28,634.27,321184.88,219457.42,101727.46,5,25694.79,PayPal,Completed,FedEx,Individual
2000037,Latin America,Argentina,Buenos Aires,Anthony Thompson,Andrew Moore,Home Office,Offline,Low,2023-04-28 00:00:00,2023-05-02 00:00:00,Furniture,Sofas,116,377.11,270.28,43744.76,31352.48,12392.28,9,3499.58,PayPal,Completed,Local Courier,Enterprise
2000038,Europe,France,Lyon,Thomas Clark,Thomas Robinson,Corporate,Retail,Low,2022-06-14 00:00:00,2022-06-24 00:00:00,Toys,Dolls,69,276.0,143.89,19044.0,9928.41,9115.59,5,1523.52,Credit Card,Processing,FedEx,Enterprise
2000039,Europe,Germany,Frankfurt,James Clark,Robert Smith,Consumer,Online,High,2022-10-12 00:00:00,2022-10-14 00:00:00,Clothing,Shoes,386,795.76,540.22,307163.36,208524.92,98638.44,15,24573.07,Credit Card,Processing,FedEx,Enterprise
2000040,Europe,Spain,Madrid,Thomas Clark,Michael Anderson,Home Office,Partner,Critical,2023-06-14 00:00:00,2023-06-16 00:00:00,Home Appliances,Fridges,79,370.14,241.43,29241.06,19072.97,10168.09,14,2339.28,Credit Card,Completed,DHL,SME
2000041,North America,Canada,Ottawa,Barbara Thompson,Richard Perez,Home Office,Retail,Low,2022-05-01 00:00:00,2022-05-08 00:00:00,Furniture,Beds,47,1042.83,748.77,49013.01,35192.19,13820.82,0,3921.04,Wire Transfer,Returned,DHL,Enterprise
2000042,Latin America,Colombia,Barranquilla,Elizabeth Johnson,Mary Garcia,Home Office,Offline,Medium,2022-03-28 00:00:00,2022-04-06 00:00:00,Office Supplies,Paper,5,760.78,407.21,3803.9,2036.05,1767.85,7,304.31,PayPal,Completed,FedEx,Individual
2000043,Latin America,Brazil,Rio de Janeiro,Kimberly Smith,Robert Garcia,Consumer,Offline,Medium,2022-05-01 00:00:00,2022-05-10 00:00:00,Home Appliances,Fridges,395,592.67,421.58,234104.65,166524.1,67580.55,13,18728.37,PayPal,Cancelled,FedEx,SME
2000044,Europe,UK,Glasgow,Donald Ramirez,Matthew Clark,Home Office,Online,Medium,2022-04-24 00:00:00,2022-05-01 00:00:00,Clothing,Shoes,170,950.57,671.14,161596.9,114093.8,47503.1,14,12927.75,PayPal,Returned,FedEx,Enterprise
2000045,Asia-Pacific,Australia,Melbourne,Nancy Gonzalez,Richard Martinez,Corporate,Offline,Critical,2023-01-05 00:00:00,2023-01-12 00:00:00,Home Appliances,Washers,173,139.06,98.83,24057.38,17097.59,6959.79,11,1924.59,Credit Card,Returned,FedEx,Enterprise
2000046,Latin America,Argentina,Córdoba,James Robinson,Daniel Jackson,Corporate,Offline,High,2023-07-25 00:00:00,2023-08-03 00:00:00,Toys,Dolls,351,1007.08,619.78,353485.08,217542.78,135942.3,5,28278.81,Wire Transfer,Returned,Local Courier,SME
2000047,Asia-Pacific,India,Mumbai,Nancy Gonzalez,Emily Robinson,Corporate,Partner,Medium,2022-11-08 00:00:00,2022-11-14 00:00:00,Clothing,Shirts,173,881.37,510.92,152477.01,88389.16,64087.85,8,12198.16,PayPal,Cancelled,Local Courier,SME
2000048,Europe,France,Toulouse,Karen Ramirez,Anthony Johnson,Home Office,Online,Medium,2022-07-15 00:00:00,2022-07-18 00:00:00,Electronics,Smartphones,337,678.39,362.37,228617.43,122118.69,106498.74,15,18289.39,Wire Transfer,Cancelled,UPS,Enterprise
2000049,North America,Mexico,Monterrey,Robert Thompson,Susan Martinez,Home Office,Online,High,2023-11-18 00:00:00,2023-11-28 00:00:00,Furniture,Sofas,26,455.81,249.06,11851.06,6475.56,5375.5,20,948.08,Credit Card,Returned,DHL,Enterprise
2000050,Asia-Pacific,China,Guangzhou,Joseph Jones,Richard Moore,Corporate,Partner,Critical,2023-06-27 00:00:00,2023-06-28 00:00:00,Furniture,Sofas,198,363.03,268.56,71879.94,53174.88,18705.06,12,5750.4,Wire Transfer,Completed,Local Courier,Individual
